Gender;Age;Faculty;Brand;Colour;Provider;PlanType;Bill;PrimaryUse;No.Phones
Male;34;IT;Motorola;Silver;Optus;Prepaid;10;Calls;1
Male;22;IT;Nokia;Blue;Optus;Prepaid;30;SMS;1
Male;26;IT;Nokia;White;Optus;Prepaid;35;Both;2
Male;18;IT;Nokia;Red;Optus;Prepaid;15;SMS;2
Female;18;IT;Nokia;Blue;Optus;Plan;30;SMS;2
Female;23;IT;Nokia;Black;Vodafone;Prepaid;40;SMS;6
Male;27;IT;Nokia;Silver;Optus;Prepaid;10;SMS;2
Male;23;IT;;;;;NA;;1
Female;18;Law;Alcatel;Blue;Optus;Plan;30;Both;1
Female;32;Law;LG;Silver;Telstra;Plan;30;Calls;3
Female;19;Law;Motorola;Blue;Vodafone;Prepaid;40;Both;2
Male;18;Law;Nokia;Blue;Telstra;Prepaid;25;Calls;1
Female;18;Law;Nokia;Blue;Optus;Plan;40;SMS;2
Female;20;Law;Nokia;Blue;Optus;Plan;40;Both;3
Female;17;Law;Nokia;Blue;Optus;Plan;70;Both;4
Female;18;Law;Nokia;White;Telstra;Plan;40;SMS;2
Male;19;Law;Nokia;Silver;Optus;Plan;70;Both;4
Male;20;Law;Nokia;Black;Telstra;Plan;140;Calls;4
Female;21;Law;Sony;Silver;Telstra;Plan;40;SMS;1
Female;49;Law;Nokia;Green;Optus;Plan;15;Calls;3
Female;21;Science;NEC;Silver;3;Plan;0;Calls;3
Female;17;Science;Nokia;Blue;Optus;Prepaid;30;SMS;1
Male;18;Science;Nokia;Green;Optus;Prepaid;20;SMS;1
Female;19;Science;Nokia;Grey;Telstra;Prepaid;30;SMS;1
Female;19;Science;Nokia;Green;Optus;Plan;120;Both;1
Female;21;Science;Nokia;Blue;Optus;Prepaid;60;Calls;1
Female;17;Science;Nokia;White;Optus;Prepaid;60;SMS;3
Male;17;Science;Nokia;Blue;Telstra;Plan;15;SMS;1
Female;18;Science;Nokia;Pink;Telstra;Prepaid;25;SMS;2
Female;18;Science;Nokia;Pink;Telstra;Plan;30;SMS;2
Female;19;Science;Nokia;Purple;Optus;Prepaid;0;Calls;1
Female;19;Science;Nokia;Red;Optus;Prepaid;20;SMS;7
Male;19;Science;Nokia;Blue;Telstra;Prepaid;15;Both;1
Male;20;Science;Nokia;Silver;Optus;Prepaid;65;Both;1
Male;17;Science;Nokia;Blue;Vodafone;Prepaid;45;SMS;2
Female;18;Science;Nokia;Red;Optus;Prepaid;30;SMS;2
Male;18;Science;Nokia;Silver;Optus;Plan;40;Both;2
Male;23;Science;Nokia;Red;Optus;Prepaid;30;SMS;2
Female;27;Science;Panasonic;Silver;Vodafone;Prepaid;50;SMS;4
Female;24;Science;Samsung;Blue;Telstra;Plan;60;Calls;3
Female;30;Science;Siemens;Blue;Telstra;Prepaid;12;SMS;1
Female;19;Science;Siemens;Silver;Optus;Prepaid;45;Calls;4
Male;19;Science;Siemens;Black;Optus;Prepaid;10;Both;1
Female;17;Science;Siemens;Black;Optus;Prepaid;15;SMS;1
Male;18;Science;Siemens;Black;Optus;Prepaid;50;Both;1
Male;19;Science;Sony;Grey;Optus;Prepaid;40;SMS;2
Male;19;Science;Sony;Silver;Optus;Plan;50;SMS;2
Female;20;Science;;;;;NA;;1
Male;23;Science;;;;;NA;;1
Male;23;Science;Ericsson;Silver;Vodafone;Prepaid;30;SMS;5
